GENESIS-Tabelle: 12521-0040
Ausländer: Kreise, Stichtag, Geschlecht;;;;;
Ausländerstatistik;;;;;
Ausländer (Anzahl);;;;;
;;;männlich;weiblich;Insgesamt
31.12.2020;05162;Rhein-Kreis Neuss;35470;31995;67465
31.12.2020;05166;Viersen, Landkreis;16755;15075;31830
31.12.2020;05170;Wesel, Landkreis;24315;21955;46270
31.12.2020;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-
31.12.2020;05314;Bonn, kreisfreie Stadt;31830;30150;61980
31.12.2020;05315;Köln, kreisfreie Stadt;117415;108590;226005
31.12.2020;05316;Leverkusen, kreisfreie Stadt;14735;13885;28620
31.12.2020;05334;Städteregion Aachen, Landkreis;50915;42840;93750
31.12.2020;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-
31.12.2020;05358;Düren, Landkreis;18100;15230;33330
31.12.2020;05362;Rhein-Erft-Kreis;39635;34075;73710
31.12.2020;05366;Euskirchen, Landkreis;8205;7475;15680
31.12.2020;05370;Heinsberg, Landkreis;17970;15600;33570
31.12.2020;05374;Oberbergischer Kreis;15470;13515;28985
31.12.2020;05378;Rheinisch-Bergischer Kreis;15310;14705;30015
31.12.2020;05382;Rhein-Sieg-Kreis;36390;32805;69195
31.12.2020;05512;Bottrop, kreisfreie Stadt;7145;6675;13820
31.12.2020;05513;Gelsenkirchen, kreisfreie Stadt;33270;29365;62640
31.12.2020;05515;Münster, kreisfreie Stadt;17755;16815;34570
31.12.2020;05554;Borken, Landkreis;20870;17135;38005
31.12.2020;05558;Coesfeld, Landkreis;9575;7375;16945
31.12.2020;05562;Recklinghausen, Landkreis;44820;40025;84845
31.12.2020;05566;Steinfurt, Landkreis;24710;20390;45100
31.12.2020;05570;Warendorf, Landkreis;16385;14165;30550
31.12.2020;05711;Bielefeld, kreisfreie Stadt;30805;29490;60290
31.12.2020;05754;Gütersloh, Landkreis;29340;24430;53770
31.12.2020;05758;Herford, Landkreis;14140;12660;26805
31.12.2020;05762;Höxter, Landkreis;4635;4015;8650
31.12.2020;05766;Lippe, Landkreis;17485;15440;32925
31.12.2020;05770;Minden-Lübbecke, Landkreis;15855;13255;29105
31.12.2020;05774;Paderborn, Landkreis;17300;13895;31195
31.12.2020;05911;Bochum, kreisfreie Stadt;29885;25920;55805
31.12.2020;05913;Dortmund, kreisfreie Stadt;64885;55970;120855
31.12.2020;05914;Hagen, kreisfreie Stadt;21325;19555;40880
31.12.2020;05915;Hamm, kreisfreie Stadt;16730;14335;31070
31.12.2020;05916;Herne, kreisfreie Stadt;16775;14805;31580
31.12.2020;05954;Ennepe-Ruhr-Kreis;19375;18045;37415
31.12.2020;05958;Hochsauerlandkreis;14010;11975;25985
31.12.2020;05962;Märkischer Kreis;30835;28360;59195
31.12.2020;05966;Olpe, Landkreis;7435;6560;13990
31.12.2020;05970;Siegen-Wittgenstein, Landkreis;18585;15365;33950
31.12.2020;05974;Soest, Landkreis;16055;13750;29805
31.12.2020;05978;Unna, Landkreis;27455;24245;51700
31.12.2020;06411;Darmstadt, kreisfreie Stadt;18870;16300;35165
31.12.2020;06412;Frankfurt am Main, kreisfreie Stadt;119670;114765;234440
31.12.2020;06413;Offenbach am Main, kreisfreie Stadt;30065;26155;56220
31.12.2020;06414;Wiesbaden, kreisfreie Stadt;33905;31710;65615
31.12.2020;06431;Bergstraße, Landkreis;22065;18835;40900
31.12.2020;06432;Darmstadt-Dieburg, Landkreis;25770;22560;48330
31.12.2020;06433;Groß-Gerau, Landkreis;36400;31300;67700
31.12.2020;06434;Hochtaunuskreis;22170;22305;44475
31.12.2020;06435;Main-Kinzig-Kreis;38565;34640;73205
31.12.2020;06436;Main-Taunus-Kreis;25530;22955;48485
31.12.2020;06437;Odenwaldkreis;7465;7155;14620
31.12.2020;06438;Offenbach, Landkreis;41895;38465;80355
31.12.2020;06439;Rheingau-Taunus-Kreis;13285;12175;25460
31.12.2020;06440;Wetteraukreis;23860;21295;45155
31.12.2020;06531;Gießen, Landkreis;21165;17295;38460
31.12.2020;06532;Lahn-Dill-Kreis;15480;14255;29735
31.12.2020;06533;Limburg-Weilburg, Landkreis;12000;10355;22350
31.12.2020;06534;Marburg-Biedenkopf, Landkreis;15405;14045;29450
31.12.2020;06535;Vogelsbergkreis;4180;3650;7825
31.12.2020;06611;Kassel, kreisfreie Stadt;31815;28045;59860
31.12.2020;06631;Fulda, Landkreis;11975;9820;21795
31.12.2020;06632;Hersfeld-Rotenburg, Landkreis;6705;5330;12035
31.12.2020;06633;Kassel, Landkreis;-;-;-
31.12.2020;06634;Schwalm-Eder-Kreis;7800;6625;14425
31.12.2020;06635;Waldeck-Frankenberg, Landkreis;7965;6820;14785
31.12.2020;06636;Werra-Meißner-Kreis;4615;3325;7940
31.12.2020;07111;Koblenz, kreisfreie Stadt;9440;7810;17250
31.12.2020;07131;Ahrweiler, Landkreis;8305;7200;15510
31.12.2020;07132;Altenkirchen (Westerwald), Landkreis;5665;4635;10300
31.12.2020;07133;Bad Kreuznach, Landkreis;9800;9025;18825
31.12.2020;07134;Birkenfeld, Landkreis;4830;4245;9075
31.12.2020;07135;Cochem-Zell, Landkreis;2565;2415;4985
31.12.2020;07137;Mayen-Koblenz, Landkreis;10330;9195;19525
31.12.2020;07138;Neuwied, Landkreis;10545;9290;19835
31.12.2020;07140;Rhein-Hunsrück-Kreis;5395;4570;9970
31.12.2020;07141;Rhein-Lahn-Kreis;6430;5690;12120
31.12.2020;07143;Westerwaldkreis;10460;9090;19555
31.12.2020;07211;Trier, kreisfreie Stadt;9805;8480;18285
31.12.2020;07231;Bernkastel-Wittlich, Landkreis;6995;5570;12560
31.12.2020;07232;Eifelkreis Bitburg-Prüm;7780;6765;14545
31.12.2020;07233;Vulkaneifel, Landkreis;2625;2270;4895
31.12.2020;07235;Trier-Saarburg, Landkreis;10085;8725;18810
31.12.2020;07311;Frankenthal (Pfalz), kreisfreie Stadt;5165;4410;9575
31.12.2020;07312;Kaiserslautern, kreisfreie Stadt;10580;8365;18945
31.12.2020;07313;Landau in der Pfalz, kreisfreie Stadt;2860;2570;5425
31.12.2020;07314;Ludwigshafen am Rhein, kreisfreie Stadt;27735;23160;50895
31.12.2020;07315;Mainz, kreisfreie Stadt;20530;19145;39675
31.12.2020;07316;Neustadt an der Weinstraße, kreisfreie Stadt;3295;3000;6295
31.12.2020;07317;Pirmasens, kreisfreie Stadt;2740;2275;5020
31.12.2020;07318;Speyer, kreisfreie Stadt;4555;3900;8455
31.12.2020;07319;Worms, kreisfreie Stadt;9650;7930;17580
31.12.2020;07320;Zweibrücken, kreisfreie Stadt;2050;1775;3825
31.12.2020;07331;Alzey-Worms, Landkreis;7720;6150;13870
31.12.2020;07332;Bad Dürkheim, Landkreis;6885;6235;13120
31.12.2020;07333;Donnersbergkreis;3530;3035;6565
31.12.2020;07334;Germersheim, Landkreis;9395;8095;17490
31.12.2020;07335;Kaiserslautern, Landkreis;4810;4350;9160
31.12.2020;07336;Kusel, Landkreis;2540;2410;4950
31.12.2020;07337;Südliche Weinstraße, Landkreis;4925;4460;9385
31.12.2020;07338;Rhein-Pfalz-Kreis;9730;8170;17905
31.12.2020;07339;Mainz-Bingen, Landkreis;12730;11135;23860
31.12.2020;07340;Südwestpfalz, Landkreis;2550;2175;4720
31.12.2020;08111;Stuttgart, kreisfreie Stadt;84750;76290;161040
31.12.2020;08115;Böblingen, Landkreis;39885;36355;76245
31.12.2020;08116;Esslingen, Landkreis;53380;44545;97925
31.12.2020;08117;Göppingen, Landkreis;24885;21505;46390
31.12.2020;08118;Ludwigsburg, Landkreis;54730;48630;103360
31.12.2020;08119;Rems-Murr-Kreis;38630;34820;73450
31.12.2020;08121;Heilbronn, kreisfreie Stadt;19215;16535;35750
31.12.2020;08125;Heilbronn, Landkreis;30030;25440;55470
31.12.2020;08126;Hohenlohekreis;7435;6010;13445
31.12.2020;08127;Schwäbisch Hall, Landkreis;13860;11475;25330
31.12.2020;08128;Main-Tauber-Kreis;7315;6275;13585
31.12.2020;08135;Heidenheim, Landkreis;11930;10165;22100
31.12.2020;08136;Ostalbkreis;19565;17165;36730
31.12.2020;08211;Baden-Baden, kreisfreie Stadt;5755;5705;11460
31.12.2020;08212;Karlsruhe, kreisfreie Stadt;31185;26505;57690
31.12.2020;08215;Karlsruhe, Landkreis;33440;29630;63070
31.12.2020;08216;Rastatt, Landkreis;18600;16800;35400
31.12.2020;08221;Heidelberg, kreisfreie Stadt;14010;14435;28440
31.12.2020;08222;Mannheim, kreisfreie Stadt;44225;38070;82300
31.12.2020;08225;Neckar-Odenwald-Kreis;8575;7190;15765
31.12.2020;08226;Rhein-Neckar-Kreis;38890;35590;74485
31.12.2020;08231;Pforzheim, kreisfreie Stadt;18120;17090;35205
31.12.2020;08235;Calw, Landkreis;13975;12235;26210
31.12.2020;08236;Enzkreis;15075;13750;28825
31.12.2020;08237;Freudenstadt, Landkreis;8225;7340;15565
31.12.2020;08311;Freiburg im Breisgau, kreisfreie Stadt;20190;19325;39515
31.12.2020;08315;Breisgau-Hochschwarzwald, Landkreis;17930;15785;33715
31.12.2020;08316;Emmendingen, Landkreis;10270;8840;19110
31.12.2020;08317;Ortenaukreis;30940;26335;57275
31.12.2020;08325;Rottweil, Landkreis;9200;8340;17540
31.12.2020;08326;Schwarzwald-Baar-Kreis;18725;16635;35360
31.12.2020;08327;Tuttlingen, Landkreis;13615;11805;25420
31.12.2020;08335;Konstanz, Landkreis;23915;22430;46345
31.12.2020;08336;Lörrach, Landkreis;19070;18285;37355
31.12.2020;08337;Waldshut, Landkreis;13965;12865;26830
31.12.2020;08415;Reutlingen, Landkreis;25205;22580;47785
31.12.2020;08416;Tübingen, Landkreis;16290;15690;31980
31.12.2020;08417;Zollernalbkreis;13685;12235;25920
31.12.2020;08421;Ulm, kreisfreie Stadt;14875;12865;27740
31.12.2020;08425;Alb-Donau-Kreis;15190;12700;27895
31.12.2020;08426;Biberach, Landkreis;12720;10340;23055
31.12.2020;08435;Bodenseekreis;16620;15635;32255
31.12.2020;08436;Ravensburg, Landkreis;19185;15465;34650
31.12.2020;08437;Sigmaringen, Landkreis;8245;6810;15060
31.12.2020;09161;Ingolstadt, kreisfreie Stadt;16935;13695;30630
31.12.2020;09162;München, kreisfreie Stadt;230660;214625;445285
31.12.2020;09163;Rosenheim, kreisfreie Stadt;7945;7030;14975
31.12.2020;09171;Altötting, Landkreis;8060;6540;14600
31.12.2020;09172;Berchtesgadener Land, Landkreis;9870;9520;19390
31.12.2020;09173;Bad Tölz-Wolfratshausen, Landkreis;9855;8520;18375
31.12.2020;09174;Dachau, Landkreis;15230;12520;27750
31.12.2020;09175;Ebersberg, Landkreis;11940;10065;22005
31.12.2020;09176;Eichstätt, Landkreis;7570;5765;13335
31.12.2020;09177;Erding, Landkreis;10380;8345;18725
31.12.2020;09178;Freising, Landkreis;20255;15565;35820
31.12.2020;09179;Fürstenfeldbruck, Landkreis;19705;17270;36970
31.12.2020;09180;Garmisch-Partenkirchen, Landkreis;6565;5785;12350
31.12.2020;09181;Landsberg am Lech, Landkreis;6590;5385;11975
31.12.2020;09182;Miesbach, Landkreis;7095;6375;13470
31.12.2020;09183;Mühldorf am Inn, Landkreis;9010;6950;15955
31.12.2020;09184;München, Landkreis;37035;32710;69740
31.12.2020;09185;Neuburg-Schrobenhausen, Landkreis;6370;4915;11285
31.12.2020;09186;Pfaffenhofen an der Ilm, Landkreis;9265;6955;16225
31.12.2020;09187;Rosenheim, Landkreis;15915;13585;29500
31.12.2020;09188;Starnberg, Landkreis;11745;10705;22450
31.12.2020;09189;Traunstein, Landkreis;10300;8985;19285
