GENESIS-Tabelle: 12521-0040
Ausländer: Kreise, Stichtag, Geschlecht;;;;;
Ausländerstatistik;;;;;
Ausländer (Anzahl);;;;;
;;;männlich;weiblich;Insgesamt
31.12.2020;14280;Meißen, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-
31.12.2020;14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14290;Weißeritzkreis (bis 31.07.2008);-;-;-
31.12.2020;14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2020;14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14383;Muldentalkreis (bis 31.07.2008);-;-;-
31.12.2020;14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14511;Chemnitz, kreisfreie Stadt;14370;9130;23500
31.12.2020;14521;Erzgebirgskreis;4060;3035;7100
31.12.2020;14522;Mittelsachsen, Landkreis;6605;4280;10885
31.12.2020;14523;Vogtlandkreis;5475;3905;9380
31.12.2020;14524;Zwickau, Landkreis;7350;5135;12480
31.12.2020;14612;Dresden, kreisfreie Stadt;26935;21415;48350
31.12.2020;14625;Bautzen, Landkreis;4590;3145;7735
31.12.2020;14626;Görlitz, Landkreis;6875;6345;13220
31.12.2020;14627;Meißen, Landkreis;4990;3220;8210
31.12.2020;14628;Sächsische Schweiz-Osterzgebirge, Landkreis;4060;3010;7070
31.12.2020;14713;Leipzig, kreisfreie Stadt;32335;25990;58325
31.12.2020;14729;Leipzig, Landkreis;4525;3115;7635
31.12.2020;14730;Nordsachsen, Landkreis;5435;3455;8890
31.12.2020;15001;Dessau-Roßlau, kreisfreie Stadt;2760;2050;4810
31.12.2020;15002;Halle (Saale), kreisfreie Stadt;14730;10975;25710
31.12.2020;15003;Magdeburg, kreisfreie Stadt;14485;10650;25135
31.12.2020;15081;Altmarkkreis Salzwedel;1870;1415;3285
31.12.2020;15082;Anhalt-Bitterfeld, Landkreis;4365;2755;7125
31.12.2020;15083;Börde, Landkreis;3610;2395;6005
31.12.2020;15084;Burgenlandkreis;6915;4030;10945
31.12.2020;15085;Harz, Landkreis;3640;2730;6370
31.12.2020;15086;Jerichower Land, Landkreis;1900;1310;3210
31.12.2020;15087;Mansfeld-Südharz, Landkreis;2350;1690;4040
31.12.2020;15088;Saalekreis;4685;2870;7555
31.12.2020;15089;Salzlandkreis;4040;2965;7010
31.12.2020;15090;Stendal, Landkreis;2025;1600;3630
31.12.2020;15091;Wittenberg, Landkreis;2975;2050;5020
31.12.2020;15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-
31.12.2020;15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15159;Köthen, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-
31.12.2020;15256;Burgenlandkreis (bis 30.06.2007);-;-;-
31.12.2020;15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15265;Saalkreis (bis 30.06.2007);-;-;-
31.12.2020;15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-
31.12.2020;15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15355;Bördekreis (bis 30.06.2007);-;-;-
31.12.2020;15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15362;Ohrekreis (bis 30.06.2007);-;-;-
31.12.2020;15363;Stendal, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-
31.12.2020;15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-
31.12.2020;16051;Erfurt, kreisfreie Stadt;11120;8955;20075
31.12.2020;16052;Gera, kreisfreie Stadt;4155;3060;7210
31.12.2020;16053;Jena, kreisfreie Stadt;6305;5430;11730
31.12.2020;16054;Suhl, kreisfreie Stadt;1755;1155;2915
31.12.2020;16055;Weimar, kreisfreie Stadt;3305;2775;6080
31.12.2020;16056;Eisenach, kreisfreie Stadt;2200;1690;3895
31.12.2020;16061;Eichsfeld, Landkreis;2060;1590;3650
31.12.2020;16062;Nordhausen, Landkreis;2475;1580;4055
31.12.2020;16063;Wartburgkreis;2215;1870;4085
31.12.2020;16064;Unstrut-Hainich-Kreis;2335;1725;4060
31.12.2020;16065;Kyffhäuserkreis;1270;975;2240
31.12.2020;16066;Schmalkalden-Meiningen, Landkreis;3025;2045;5070
31.12.2020;16067;Gotha, Landkreis;5545;4180;9725
31.12.2020;16068;Sömmerda, Landkreis;1265;900;2165
31.12.2020;16069;Hildburghausen, Landkreis;1420;1000;2420
31.12.2020;16070;Ilm-Kreis;3915;2660;6570
31.12.2020;16071;Weimarer Land, Landkreis;2055;1565;3620
31.12.2020;16072;Sonneberg, Landkreis;1785;1345;3130
31.12.2020;16073;Saalfeld-Rudolstadt, Landkreis;1775;1315;3090
31.12.2020;16074;Saale-Holzland-Kreis;1420;1025;2445
31.12.2020;16075;Saale-Orla-Kreis;1885;1245;3135
31.12.2020;16076;Greiz, Landkreis;1505;990;2490
31.12.2020;16077;Altenburger Land, Landkreis;1885;1390;3270
__________
"06611 Kassel, kreisfreie Stadt,
06633 Kassel, Landkreis:
Kassel documenta-Stadt und der Landkreis Kassel werden von
einer Ausländerbehörde bearbeitet und können daher nicht
getrennt ausgewiesen werden.

10041 Regionalverband Saarbrücken, Landkreis,
10042 Merzig-Wadern, Landkreis,
10043 Neunkirchen, Landkreis,
10044 Saarlouis, Landkreis,
10045 Saarpfalz-Kreis,
10046 Sankt Wendel, Landkreis:
Für Saarland liegen keine Daten nach Kreisen vor, weil es im
Saarland nur eine einzige für alle Kreise zuständige
Ausländerbehörde gibt. Alle Fälle des Saarlandes sind im
Kreis ""Saarlouis"" nachgewiesen, in dem diese Behörde ihren
Sitz hat.

12052 Cottbus, kreisfreie Stadt,
12071 Spree-Neiße, Landkreis:
Cottbus und der Landkreis Spree-Neiße werden von einer
Ausländerbehörde bearbeitet und können daher nicht getrennt
ausgewiesen werden (ab Berichtsjahr 2013)."
© Statistisches Bundesamt (Destatis), 2021
Stand: 12.02.2022 / 10:43:00
