GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2020;03103;Wolfsburg, kreisfreie Stadt;1980;2028;2465;2792;1599;1212;3301;4122;4790;4539;4038;3560;4492;4701;3885;5813;6337;1894;1931;2179;2616;1568;1044;2899;3561;4248;4089;3788;3525;4515;4602;4142;6563;9022
31.12.2020;03151;Gifhorn, Landkreis;2856;2968;3500;4458;2714;1900;4767;4616;5528;5633;5303;5364;7470;8064;6678;9179;7592;2715;2788;3402;4194;2631;1814;3790;4101;5393;5489;5269;5426;7378;7939;6597;9399;10312
31.12.2020;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;03153;Goslar, Landkreis;1458;1572;1924;2709;1686;1378;4054;4177;3933;3348;3565;3887;5630;5924;5034;8363;8184;1348;1489;1851;2517;1579;1226;3001;3259;3322;3373;3381;4010;5536;5828;5249;9106;11787
31.12.2020;03154;Helmstedt, Landkreis;1320;1344;1561;2073;1302;846;2323;2343;2814;2784;2790;2754;3841;4038;3585;5175;4501;1306;1272;1542;1935;1151;804;1919;2069;2772;2708;2682;2603;3772;4078;3499;5469;6543
31.12.2020;03155;Northeim, Landkreis;1577;1750;2180;2881;1849;1293;3541;3307;3671;3475;3444;3882;5395;5895;5418;8221;7209;1597;1594;2163;2678;1708;1174;3097;2990;3376;3441;3518;3839;5581;6073;5244;8283;10428
31.12.2020;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;03157;Peine, Landkreis;2119;2127;2645;3356;2148;1499;3759;3403;4035;4070;4007;4297;5952;5989;4751;6858;6265;2003;2052;2628;3162;1982;1334;3104;3216;3964;4036;4072;4409;5809;5812;4755;7417;8809
31.12.2020;03158;Wolfenbüttel, Landkreis;1644;1590;2011;2643;1758;1274;3368;3160;3348;3226;3303;3557;5286;5445;4500;6666;6323;1505;1588;1969;2462;1583;1150;2814;2691;3193;3196;3417;3788;5316;5262;4560;7100;8665
31.12.2020;03159;Göttingen, Landkreis;4320;4290;5557;7016;4387;3314;11281;11286;10910;9142;8289;8882;12246;12981;11416;17601;16073;3973;4170;5112;6538;4220;3175;10886;10551;10023;9244;8902;9319;12262;13440;11757;18890;22447
31.12.2020;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;03241;Region Hannover, Landkreis;17002;17321;21546;26797;15968;11398;35280;39924;40221;36766;34589;34958;44870;45009;36909;53519;53421;16218;16432;20310;25508;15072;10816;33354;36988;38260;37090;35972;35348;44830;45053;38293;61397;78891
31.12.2020;03251;Diepholz, Landkreis;3091;3150;4039;5233;3295;2446;5935;5784;6553;6186;6013;6700;9631;9758;8162;11867;10610;2886;2970;3784;4903;3048;2112;5163;5340;6058;6210;6186;6796;9595;9427;8047;12496;14598
31.12.2020;03252;Hameln-Pyrmont, Landkreis;2048;2027;2607;3332;2096;1512;3855;3848;4043;3946;3885;4258;5993;6400;5509;8409;8113;1885;2010;2550;3152;2070;1421;3473;3620;3963;4010;4046;4414;6129;6569;5808;9273;12306
31.12.2020;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;03254;Hildesheim, Landkreis;3706;3717;4706;6090;4059;2848;8156;8359;8210;7470;7492;8190;11321;11855;9928;14663;13759;3536;3460;4515;5801;3765;2725;8309;7739;7596;7531;7687;8311;11328;11788;10132;16247;20465
31.12.2020;03255;Holzminden, Landkreis;907;906;1123;1515;976;726;2006;1941;1999;1911;1791;1966;2809;3095;2664;4331;4145;834;876;1080;1421;945;666;1658;1623;1756;1737;1765;1986;2899;3094;2701;4584;5771
31.12.2020;03256;Nienburg (Weser), Landkreis;1695;1668;2209;2942;1890;1357;3590;3378;3561;3379;3383;3639;5091;5595;4656;6714;5578;1617;1788;2194;2846;1817;1240;2991;2985;3212;3331;3249;3613;5104;5378;4661;7004;8290
