GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2020;05119;Oberhausen, kreisfreie Stadt;3029;3154;3810;4643;2840;1948;5789;6608;7047;6491;6401;6433;8233;8660;7489;11088;9156;2869;2934;3606;4474;2757;1885;5234;6103;6577;6515;6349;6054;8182;8564;8064;12459;14121
31.12.2020;05120;Remscheid, kreisfreie Stadt;1647;1712;2062;2662;1650;1156;3119;3308;3515;3257;3427;3498;4572;4879;3985;5438;5274;1631;1598;2018;2544;1566;1062;2813;3050;3355;3083;3265;3366;4483;4561;4020;6055;7885
31.12.2020;05122;Solingen, kreisfreie Stadt;2387;2435;2969;3809;2452;1606;4479;4765;4905;4716;4502;4699;6483;6742;5619;7329;7387;2286;2254;2780;3683;2186;1590;4077;4606;5120;4912;4815;4895;6677;6853;5733;8272;11170
31.12.2020;05124;Wuppertal, kreisfreie Stadt;5375;5648;6964;8514;5258;3663;11107;12254;12639;11279;10409;10293;13741;14077;11573;15932;15465;5129;5370;6442;8190;5024;3491;10698;11528;11678;10829;10206;10535;13416;13965;11900;18865;23547
31.12.2020;05154;Kleve, Landkreis;4555;4497;5784;7444;4589;3400;9535;10071;10210;9638;9067;9428;12989;13835;11532;16653;12974;4134;4332;5446;6849;4481;3005;8090;8902;9559;9069;8827;9651;13264;13547;11514;17820;18895
31.12.2020;05158;Mettmann, Landkreis;6897;7352;9097;11336;7074;4831;12101;12050;13589;13664;13402;14366;19891;20747;17082;24322;26148;6443;7039;8746;11037;6506;4424;10844;11395;13836;14597;14323;15074;20510;21418;18055;28628;37498
31.12.2020;05162;Rhein-Kreis Neuss;6677;6986;9030;10928;6851;4514;11574;11674;12983;13438;13846;13848;18634;19000;15815;22434;21423;6363;6776;8303;10501;6198;4118;10242;10910;13212;14278;14538;14718;19281;19481;16567;26138;30722
31.12.2020;05166;Viersen, Landkreis;3980;4287;5251;6704;4308;2982;7801;8021;8508;8563;8224;8742;13113;13930;11259;15861;14118;3757;3951;5020;6562;4174;2886;6928;7496;8383;8586;8619;9368;13583;13945;11638;17571;20417
31.12.2020;05170;Wesel, Landkreis;6335;6471;8089;10270;6536;4441;11602;12314;13943;12944;12545;13141;18598;20349;17774;26091;22467;5813;6226;7740;9649;6124;4157;10051;11509;13639;13326;13011;13803;19553;21131;18649;29203;32619
31.12.2020;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;05314;Bonn, kreisfreie Stadt;4923;5108;6578;8153;4825;3430;12110;13238;12523;10898;9562;9501;11630;11259;9271;12734;12447;4699;4650;6159;7473;4502;3700;13389;13461;12975;11489;10532;10241;11992;11940;10093;15372;19722
31.12.2020;05315;Köln, kreisfreie Stadt;16442;16093;19546;24067;13717;9610;33580;44141;46476;39669;36455;35066;41944;38648;29903;41489;41229;15623;15259;18517;22545;12903;9585;36900;47510;47326;40413;37503;35077;40039;37858;30941;49721;57703
31.12.2020;05316;Leverkusen, kreisfreie Stadt;2475;2495;3232;4020;2541;1657;4496;4910;5183;4925;4762;5030;6750;6803;5458;7182;7920;2401;2350;3015;3720;2305;1478;4115;4665;5042;5044;5164;5189;6654;6688;5678;8676;11882
31.12.2020;05334;Städteregion Aachen, Landkreis;7663;7664;9650;11910;7572;7121;26947;25491;20153;16610;14606;15147;20471;21428;18337;26450;23883;7409;7295;8924;11165;7192;5765;19456;19588;17244;15647;15116;15701;20682;21114;18691;29779;34760
31.12.2020;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;05358;Düren, Landkreis;4061;4026;4833;6451;3898;2817;8057;8277;8415;7957;7486;7770;10623;11336;9848;14184;11420;3734;3818;4593;5790;3638;2504;6757;7211;7910;7785;7543;7963;10836;11406;10195;15576;16422
31.12.2020;05362;Rhein-Erft-Kreis;7146;7526;9233;11334;6948;4758;12933;12720;14013;13950;13990;14484;19233;19471;16126;23335;21742;6857;6914;8739;10805;6492;4524;11557;12089;13954;14741;15033;15078;19796;20016;16705;27234;30135
31.12.2020;05366;Euskirchen, Landkreis;2744;2801;3592;4563;2887;2039;5235;5389;5778;5709;5538;5654;8061;8739;7574;10906;8729;2763;2732;3393;4331;2757;1836;4690;4791;5558;5674;5617;5871;8273;9012;7586;11482;12055
31.12.2020;05370;Heinsberg, Landkreis;3770;3772;4693;6149;3899;2873;7120;7318;8020;7586;7371;7637;10598;11495;9831;13845;10946;3508;3635;4498;5641;3684;2477;6124;6618;7615;7624;7603;8081;10711;11518;9951;14502;15745
31.12.2020;05374;Oberbergischer Kreis;4170;4231;5259;6510;4173;2991;7915;7948;8081;7904;7714;7676;10945;11856;10078;13833;12317;3957;4050;4953;6393;4082;2737;6760;6873;7629;7931;7895;8172;11225;11957;10359;14991;18134
31.12.2020;05378;Rheinisch-Bergischer Kreis;3871;4141;5417;6785;4385;2936;7218;6721;7470;7848;7758;8384;11933;12702;10435;14172;15081;3730;4009;4948;6409;3939;2681;6196;6377;7852;8342;8426;8992;12682;13145;10710;16422;21158
31.12.2020;05382;Rhein-Sieg-Kreis;8905;9233;12053;15101;9519;6544;16720;16295;17406;17702;16956;17589;24741;25629;21141;30028;28496;8219;8644;11021;14185;8658;5862;14571;15134;16964;18099;18524;18692;25496;26618;22387;34066;39177
31.12.2020;05512;Bottrop, kreisfreie Stadt;1636;1680;2083;2554;1636;1170;3209;3410;3724;3448;3536;3537;4658;4909;4491;6335;5106;1560;1577;1878;2430;1562;1107;2794;3194;3625;3482;3392;3610;4783;5097;4659;7350;8166
31.12.2020;05513;Gelsenkirchen, kreisfreie Stadt;4236;4257;5177;6679;4090;2810;7883;8623;8887;7884;7817;8182;10051;10107;8927;12673;10517;4206;4029;4792;6073;3587;2531;7100;7628;8246;7538;7554;7887;9635;9683;9205;14247;16364
31.12.2020;05515;Münster, kreisfreie Stadt;4445;4383;5233;6558;3817;3294;13623;14871;13387;10943;8974;8727;10565;10588;8883;12360;11374;4228;4085;4943;6092;3534;3821;17634;15686;12681;10482;9119;8776;10846;11266;9399;14035;17751
31.12.2020;05554;Borken, Landkreis;6016;5884;7293;9602;6138;4367;11539;11763;11830;11058;10699;11684;15897;16427;13049;18123;14431;5653;5626;7122;9137;5767;3857;9570;10597;11137;10932;10691;11454;15495;15942;13072;18979;21067
31.12.2020;05558;Coesfeld, Landkreis;3461;3290;4237;5347;3424;2537;6276;5955;6343;6366;6325;6622;9290;9746;8351;11971;9322;3166;3311;3885;4953;3198;2300;5312;5312;6095;6407;6351;6718;9531;10178;8744;12621;13767
31.12.2020;05562;Recklinghausen, Landkreis;8826;9039;11140;13964;8940;6155;16639;16915;18092;17381;17533;18599;24889;25870;23163;33708;28200;8331;8549;10466;13093;8294;5707;14882;15792;17559;17484;17851;19316;25230;26209;24571;38395;42817
31.12.2020;05566;Steinfurt, Landkreis;6933;7087;8824;11414;7207;5320;13876;13425;13688;13399;12915;13738;19007;19483;15933;22110;18525;6657;6586;8260;10629;6932;4811;11795;11531;12765;12919;12846;14102;19172;19587;15985;23493;27243
31.12.2020;05570;Warendorf, Landkreis;4101;4248;5462;6903;4608;3159;8113;7545;8172;8141;7930;8521;11714;11724;10114;14115;12354;3932;3982;5053;6562;4323;2992;6861;6791;7649;7902;8282;8741;11434;11952;10360;15641;18036
31.12.2020;05711;Bielefeld, kreisfreie Stadt;5167;4988;6314;8041;4989;3567;11129;11998;11922;10543;9564;9969;12166;12184;9821;14213;14227;4935;4862;6104;7573;4712;3510;12120;12163;12010;10905;9932;10314;12040;12179;10799;16684;21865
31.12.2020;05754;Gütersloh, Landkreis;5662;5668;7174;9216;5900;4299;11166;11170;11985;11354;10891;11519;15452;15394;12670;17017;15410;5316;5380;6852;8687;5583;3742;9551;9650;10677;10878;10839;11936;14995;15302;12638;18405;22440
31.12.2020;05758;Herford, Landkreis;3634;3802;4748;6167;3858;2678;7096;6904;7496;7347;7202;7582;10248;10684;9152;12695;11888;3431;3484;4485;5771;3721;2385;6106;6253;7178;7375;7296;7858;10187;10723;9276;14022;17815
31.12.2020;05762;Höxter, Landkreis;1879;1980;2558;3377;2255;1510;4050;3940;4154;3850;3817;3972;5831;6244;5537;7946;6656;1784;1865;2339;3237;2145;1395;3300;3271;3631;3643;3816;4197;5799;6107;5541;8302;9801
31.12.2020;05766;Lippe, Landkreis;5205;5519;7037;8935;5596;3768;9953;9809;10462;9817;9317;9790;13490;14230;12624;17889;16783;5019;5121;6484;8561;5138;3569;8827;8965;9638;9609;9619;10205;13787;14560;12956;19921;24767
31.12.2020;05770;Minden-Lübbecke, Landkreis;4694;4852;5917;7773;5032;3390;9065;8983;9645;8869;8584;9117;12358;13105;11445;15871;14564;4213;4363;5785;7324;4587;3125;7816;8099;8638;8507;8547;9478;12427;13296;11918;17307;21576
31.12.2020;05774;Paderborn, Landkreis;4800;4915;5968;7610;4772;3629;11053;11684;11437;10273;9114;9047;11678;12127;10505;14404;11372;4526;4602;5828;7084;4503;3272;9931;9920;10187;9421;9148;9350;11328;11916;10809;15375;16747
31.12.2020;05911;Bochum, kreisfreie Stadt;4957;4927;6051;7525;4562;3470;12405;14239;13784;11949;10088;10277;13473;13747;12140;18128;16107;4777;4716;5610;6842;4258;3309;11953;12997;12794;11346;10240;10182;13468;13954;13041;21147;25991
31.12.2020;05913;Dortmund, kreisfreie Stadt;9016;8870;10588;13141;8207;5971;19705;22251;21997;19204;17292;17642;22433;22036;18671;27147;24925;8382;8540;10377;12737;7595;5531;17784;20292;20364;18566;17933;17871;21838;22120;19346;31497;37827
31.12.2020;05914;Hagen, kreisfreie Stadt;3056;2959;3675;4633;2882;2132;5390;5903;6202;5628;5315;5479;7220;7690;6351;9129;8591;2893;2860;3486;4359;2782;1918;5116;5420;5675;5177;5445;5599;7327;7639;6695;10541;13520
31.12.2020;05915;Hamm, kreisfreie Stadt;2572;2702;3407;4619;2778;2033;5847;5863;5782;5355;5632;5568;6871;6930;5775;8652;7699;2465;2611;3323;4186;2753;1833;5238;5052;5437;5264;5503;5703;6727;6847;6303;10200;11437
31.12.2020;05916;Herne, kreisfreie Stadt;2272;2308;2910;3558;2248;1689;4886;5134;5230;4657;4742;5132;6238;6400;5305;7639;6710;2246;2221;2720;3368;2067;1646;4485;4717;4736;4502;4501;4928;6100;6167;5545;9117;10816
31.12.2020;05954;Ennepe-Ruhr-Kreis;4456;4589;5638;6885;4364;3033;8534;9085;9593;9398;8826;9200;13403;14210;12066;17387;16181;4182;4344;5353;6589;4072;2829;7784;8593;9427;9268;9135;9621;13859;14470;12495;20056;24205
31.12.2020;05958;Hochsauerlandkreis;3514;3559;4564;6098;4097;2883;7532;7875;8007;7413;7041;7984;11133;11662;9954;14018;12045;3227;3517;4268;5677;3833;2493;6023;6573;7272;7011;7243;7923;10699;11356;9887;14656;17993
31.12.2020;05962;Märkischer Kreis;6016;6061;7480;9810;6167;4473;11390;11796;12597;11702;11150;11921;16964;18441;15134;20772;19307;5420;5685;7048;9107;5879;4013;9912;10677;11655;11683;11546;12458;17210;18061;15305;23361;28461
31.12.2020;05966;Olpe, Landkreis;1905;2004;2552;3252;2144;1466;4039;3964;4095;4000;3856;4121;5804;6071;4976;6929;5632;1792;1859;2346;2911;1991;1285;3264;3528;3924;3927;3903;4127;5567;5907;4896;7065;8260
31.12.2020;05970;Siegen-Wittgenstein, Landkreis;4071;4094;5045;6376;3989;2776;8724;9415;9179;8174;7841;7961;10798;11462;9859;14408;12575;3909;3873;4740;5819;3691;2662;8356;8237;8377;8037;7708;7784;10499;11170;10117;15812;17953
31.12.2020;05974;Soest, Landkreis;4267;4414;5736;7302;4700;3199;8886;8897;9277;9054;8696;9278;12525;13054;11191;15516;13427;3984;4210;5298;6757;4389;2934;7111;7714;8440;8710;8737;9408;12505;12990;11372;17143;19895
31.12.2020;05978;Unna, Landkreis;5508;5723;7077;9158;5748;4053;10767;10814;11627;11263;11439;11754;15931;16770;14641;21176;18300;5283;5411;6753;8483;5400;3639;9613;9941;11135;11139;11648;12146;16429;17242;15567;24173;27867
31.12.2020;06411;Darmstadt, kreisfreie Stadt;2457;2276;2872;3490;2014;1637;8336;8930;7648;5361;4671;4387;5470;5174;4383;6066;5876;2345;2198;2751;3320;1879;1485;6174;7103;6110;5157;4564;4380;5115;5162;4543;7244;8596
31.12.2020;06412;Frankfurt am Main, kreisfreie Stadt;12879;12061;14452;17044;9808;6615;21996;31001;36027;31998;28414;26936;29640;26250;19698;27952;24428;12086;11805;13910;16513;9190;6244;22518;32858;36492;32152;28606;25488;26711;24706;19868;32255;35503
31.12.2020;06413;Offenbach am Main, kreisfreie Stadt;2444;2191;2676;3237;1989;1350;4109;5076;5600;5065;4365;4406;4873;4653;3667;4932;4430;2234;2098;2564;3147;1813;1228;3983;5136;5587;4856;4469;4126;4483;4327;3612;5807;6359
31.12.2020;06414;Wiesbaden, kreisfreie Stadt;4549;4581;5472;6920;4099;2842;8609;8779;9035;8445;8494;8605;10527;10130;8198;11800;12180;4307;4348;5159;6625;3819;2598;8776;9167;9679;9563;9602;9305;10752;10672;8844;14441;17687
31.12.2020;06431;Bergstraße, Landkreis;3913;3912;4909;6130;3948;2672;7328;7550;8365;8117;7993;8075;11329;12056;10090;14748;12912;3690;3793;4863;5728;3523;2415;6176;6738;7755;7974;8051;8443;11518;12085;10293;16161;17762
31.12.2020;06432;Darmstadt-Dieburg, Landkreis;4323;4565;5909;7068;4340;3097;8653;8544;9162;8907;9326;9242;12527;12831;10417;15464;13390;4218;4447;5468;6827;4200;2790;7230;7473;8733;9061;9430;9462;12484;12841;10693;16902;17677
31.12.2020;06433;Groß-Gerau, Landkreis;4469;4654;5547;6688;4128;2908;8378;8867;9605;9366;9289;9150;11370;11145;8523;12417;11650;4127;4294;5282;6503;3844;2576;7286;7891;9134;9132;9166;8644;10731;10574;8706;13987;15776
31.12.2020;06434;Hochtaunuskreis;3198;3680;4855;6513;3854;2436;6019;5531;6021;6557;7264;7923;10207;9849;7545;11286;12423;3084;3430;4643;6114;3633;2126;4959;5167;6003;7180;8071;8455;10456;10302;8055;13074;17368
31.12.2020;06435;Main-Kinzig-Kreis;6234;6359;7938;9989;6193;4247;11960;12118;13229;12926;13005;13266;17211;17584;14663;21651;19370;5838;5950;7420;9518;5820;3920;10335;11161;12849;12723;13225;13631;17299;17720;15058;24585;26694
31.12.2020;06436;Main-Taunus-Kreis;3583;3807;4968;6361;3803;2522;6145;5997;6973;7376;7883;7985;10266;9792;7333;10715;11744;3378;3618;4657;5906;3485;2193;5239;5735;6964;8028;8197;8239;10353;9720;7869;12634;15796
31.12.2020;06437;Odenwaldkreis;1334;1342;1687;2115;1375;1021;2599;2658;2884;2690;2636;2980;3823;4274;3708;5855;4825;1225;1245;1612;2073;1356;900;2255;2400;2691;2620;2835;2995;3927;4223;3792;6169;6630
31.12.2020;06438;Offenbach, Landkreis;5502;5811;7048;8739;5353;3666;9983;10073;11305;11358;11387;11588;14242;14326;11568;17069;16616;5187;5427;6566;8186;4994;3154;8742;9633;11081;11606;11775;11508;14194;14390;11783;19822;22860
31.12.2020;06439;Rheingau-Taunus-Kreis;2445;2650;3381;4467;2855;1921;5122;4852;5097;5330;5304;5863;8106;8246;6768;10056;9629;2344;2501;3174;4177;2589;1801;4397;4324;4894;5500;5726;6104;8277;8309;6997;11375;12852
31.12.2020;06440;Wetteraukreis;4456;4552;6018;7464;4558;3310;8694;8927;9629;9518;9675;10044;12984;13121;10747;16025;13882;4252;4432;5585;7115;4332;2873;7438;7843;9138;9701;10054;10029;13069;13242;10973;17076;19597
31.12.2020;06531;Gießen, Landkreis;3996;4016;4649;5841;3722;2865;10934;11440;10362;8564;7759;7318;9530;10262;8788;13059;10955;3737;3786;4500;5610;3351;2812;11832;10635;9251;7955;7602;7555;9737;10481;9241;14347;15175
31.12.2020;06532;Lahn-Dill-Kreis;3557;3726;4649;6098;3763;2616;7116;7379;7979;7514;7324;7466;10222;10996;9269;13506;11764;3382;3568;4378;5595;3486;2467;6246;6705;7417;7359;7390;7915;10284;10859;9418;14901;17059
31.12.2020;06533;Limburg-Weilburg, Landkreis;2331;2464;3091;4078;2689;1861;5012;5023;5317;5168;5038;5220;7013;7651;6426;9413;7738;2270;2327;2955;3884;2526;1729;4204;4474;4973;4958;5088;5271;7209;7548;6421;10073;10848
31.12.2020;06534;Marburg-Biedenkopf, Landkreis;3245;3397;4335;5627;3515;2765;9647;9167;8667;7436;7104;7096;8969;9854;8239;11970;9998;3098;3219;4129;5335;3356;2950;10391;8630;7838;7095;6968;7222;8999;9724;8442;12996;14480
31.12.2020;06535;Vogelsbergkreis;1330;1351;1767;2276;1486;1025;2884;2754;2964;3005;2897;3292;4226;4845;4552;6756;5318;1238;1320;1657;2191;1384;936;2300;2256;2750;2769;2945;3230;4187;4816;4543;6747;7509
31.12.2020;06611;Kassel, kreisfreie Stadt;3160;2967;3639;4470;2610;2007;7617;9059;8861;6959;5463;5495;6741;7057;5945;8762;8085;2990;2859;3319;4023;2498;2000;7693;8184;7239;5902;5716;5787;7104;7397;6411;10365;12664
31.12.2020;06631;Fulda, Landkreis;3212;3359;4135;5261;3379;2405;6932;7441;7315;6783;6421;6683;8891;9274;7789;11221;10268;3053;3134;4039;4923;3337;2204;6312;6478;6709;6389;6357;6942;8663;9152;7895;12106;14561
31.12.2020;06632;Hersfeld-Rotenburg, Landkreis;1632;1775;2161;2803;1699;1195;3356;3453;3712;3430;3488;3692;4872;5175;4603;7045;6272;1536;1605;1969;2603;1697;1090;2676;2873;3346;3200;3265;3599;4718;5119;4518;7559;8568
31.12.2020;06633;Kassel, Landkreis;3147;3395;4250;5242;3214;2385;5993;5950;6749;6665;6373;7199;9830;10303;8841;13951;12882;3025;3118;3900;5000;3156;2158;5042;5448;6493;6667;6787;7299;10002;10448;9141;15377;17577
31.12.2020;06634;Schwalm-Eder-Kreis;2301;2501;3149;4076;2586;1804;4934;5091;5518;5324;5228;5599;7615;8069;7051;10608;8660;2103;2362;3067;3809;2367;1623;4000;4246;4986;4959;5035;5486;7448;7869;7014;10988;12364
31.12.2020;06635;Waldeck-Frankenberg, Landkreis;2039;2238;2819;3669;2343;1661;4388;4506;4681;4423;4264;4603;6479;7138;6052;9019;7624;1987;2048;2679;3494;2162;1469;3543;3806;4108;4187;4398;4766;6389;6990;6132;9430;10994
31.12.2020;06636;Werra-Meißner-Kreis;1307;1338;1613;2081;1380;956;2897;2805;2866;2707;2649;2889;3996;4439;4007;6239;5451;1126;1127;1581;2026;1320;840;2269;2393;2676;2595;2583;2955;4071;4447;4048;6604;7765
31.12.2020;07111;Koblenz, kreisfreie Stadt;1640;1485;1919;2255;1441;1014;4077;5096;4845;3837;3244;2947;3867;3933;3367;5311;5259;1507;1456;1784;2182;1234;1025;4309;4618;4212;3486;3137;2960;3907;3999;3634;6287;8114
31.12.2020;07131;Ahrweiler, Landkreis;1860;1847;2235;2802;1722;1278;3630;3619;3792;3716;3472;3450;5209;5948;4995;7614;7155;1702;1683;2248;2556;1668;1166;2962;3310;3564;3546;3610;3727;5468;5861;5082;7974;10008
31.12.2020;07132;Altenkirchen (Westerwald), Landkreis;1860;1912;2389;3008;1856;1315;3600;3715;4045;3678;3577;3843;5301;5748;5027;7128;5941;1802;1791;2255;2866;1749;1222;3082;3391;3682;3684;3516;3908;5193;5713;4882;7688;8720
31.12.2020;07133;Bad Kreuznach, Landkreis;2210;2249;2906;3690;2269;1562;4118;4234;4755;4528;4327;4557;6351;6908;5894;9286;7705;2140;2179;2772;3447;2111;1536;3769;4000;4484;4586;4564;4844;6464;7086;6329;10076;10810
31.12.2020;07134;Birkenfeld, Landkreis;1225;1103;1419;1755;1105;883;2233;2295;2561;2343;2133;2266;3052;3479;3293;4931;4011;1128;1071;1317;1687;1036;739;1874;2053;2150;2195;2086;2342;3121;3529;3374;5289;5752
31.12.2020;07135;Cochem-Zell, Landkreis;759;812;1005;1317;901;645;1662;1722;1831;1705;1581;1741;2577;2963;2548;3863;3226;762;752;915;1220;796;602;1354;1440;1636;1531;1632;1825;2602;2840;2450;3813;4550
31.12.2020;07137;Mayen-Koblenz, Landkreis;3096;3236;3910;4819;2987;2267;5749;6299;6850;6545;6192;6261;8798;9313;8107;11902;9831;2890;3135;3714;4641;2904;2049;5169;5567;6409;6418;6315;6413;8720;9424;8285;12843;13728
31.12.2020;07138;Neuwied, Landkreis;2741;2783;3471;4344;2764;1884;5053;5243;5603;5182;5016;5285;7285;8044;6950;10084;8519;2613;2649;3186;4162;2669;1809;4455;4749;5274;5208;5130;5491;7458;8112;7042;10693;12180
31.12.2020;07140;Rhein-Hunsrück-Kreis;1461;1532;1829;2331;1488;1079;2728;2844;3113;3044;2916;3048;4189;4636;4108;6295;4791;1313;1396;1813;2130;1465;994;2264;2478;2906;2977;2885;3136;4238;4656;4195;6280;6843
31.12.2020;07141;Rhein-Lahn-Kreis;1634;1747;2131;2811;1700;1177;3202;3258;3685;3606;3498;3741;4947;5548;4773;7204;6022;1591;1722;2163;2631;1577;1100;2737;2995;3444;3537;3482;3650;4982;5519;4903;7761;8096
31.12.2020;07143;Westerwaldkreis;2851;3144;3691;4816;3096;2049;5313;5741;6404;6146;5864;6323;8497;9294;7624;10967;8809;2792;2847;3575;4644;2850;1952;4703;5197;6114;5979;5908;6321;8432;9111;7527;11561;12688
31.12.2020;07211;Trier, kreisfreie Stadt;1434;1547;1816;2306;1388;1122;4893;5445;4945;4115;3323;3156;3800;3808;3188;4531;3848;1387;1344;1654;1998;1222;1122;5267;5002;4489;3821;3118;3007;3585;3903;3398;5222;6470
31.12.2020;07231;Bernkastel-Wittlich, Landkreis;1591;1661;2043;2516;1609;1075;2926;3160;3441;3342;3281;3507;4612;5158;4340;6826;5334;1497;1568;1877;2449;1523;1032;2533;2779;3116;3163;3184;3414;4391;4995;4380;6744;7618
31.12.2020;07232;Eifelkreis Bitburg-Prüm;1495;1597;1861;2413;1500;970;2821;3142;3216;3198;2924;2991;4113;4640;3862;5582;4159;1379;1465;1723;2096;1375;940;2299;2860;3027;2960;2791;3019;4001;4457;3725;5496;5958
31.12.2020;07233;Vulkaneifel, Landkreis;719;783;1026;1317;833;585;1602;1683;1869;1687;1613;1696;2396;2813;2621;3850;3190;699;754;999;1191;849;535;1403;1417;1559;1596;1624;1760;2397;2852;2446;3848;4279
31.12.2020;07235;Trier-Saarburg, Landkreis;2099;2226;2807;3810;2167;1507;3881;4090;4491;4743;4668;4729;6432;6772;5670;8191;6298;1990;2119;2816;3501;2145;1359;3148;3809;4521;4751;4795;4803;6338;6652;5642;8425;9138
31.12.2020;07311;Frankenthal (Pfalz), kreisfreie Stadt;763;777;970;1139;665;517;1361;1514;1616;1548;1498;1403;1812;1844;1653;2226;2439;728;750;849;1050;660;416;1185;1393;1647;1507;1434;1450;1770;1884;1759;2805;3718
31.12.2020;07312;Kaiserslautern, kreisfreie Stadt;1484;1395;1612;1987;1210;1009;4666;5502;4315;3071;2558;2516;3336;3726;3187;4568;4144;1460;1326;1525;1878;1138;978;3589;3840;3157;2833;2597;2648;3403;3687;3441;5503;6373
31.12.2020;07313;Landau in der Pfalz, kreisfreie Stadt;655;666;770;966;571;444;1703;1927;1688;1376;1250;1312;1654;1815;1517;2062;1849;591;625;728;976;581;509;2552;1925;1582;1320;1205;1335;1771;1873;1573;2429;2885
31.12.2020;07314;Ludwigshafen am Rhein, kreisfreie Stadt;2933;2931;3664;4432;2593;1758;5476;6316;6835;6042;5583;5601;6570;6651;5226;7038;7021;2771;2855;3452;4046;2397;1658;5044;5594;5974;5450;5406;5281;6056;6214;5232;8352;10105
31.12.2020;07315;Mainz, kreisfreie Stadt;3117;3013;3646;4526;2575;1956;8697;10527;10085;8361;6646;6123;7284;6897;5636;8439;8307;3076;2777;3371;3969;2273;1982;10339;10891;9799;7893;6559;6125;7126;7025;6199;9910;11974
31.12.2020;07316;Neustadt an der Weinstraße, kreisfreie Stadt;744;801;914;1147;766;509;1277;1507;1757;1609;1315;1471;2030;2299;2096;2929;2823;723;768;893;1113;697;482;1251;1369;1560;1492;1408;1477;2127;2337;2103;3319;4193
31.12.2020;07317;Pirmasens, kreisfreie Stadt;522;583;685;908;503;397;1150;1233;1297;1072;1073;1093;1492;1655;1581;2342;2108;545;508;632;813;481;357;1046;1108;1138;1008;1026;1093;1463;1722;1579;2595;3368
31.12.2020;07318;Speyer, kreisfreie Stadt;682;755;911;1158;729;497;1436;1525;1720;1500;1453;1513;1999;2087;1827;2600;2293;643;647;863;1056;675;502;1244;1404;1493;1480;1534;1597;2063;2132;1961;3128;3634
31.12.2020;07319;Worms, kreisfreie Stadt;1320;1312;1637;1994;1234;831;2828;2945;2881;2530;2582;2584;3113;3260;2830;4018;3399;1217;1281;1519;1928;1160;798;2449;2573;2557;2488;2516;2554;2952;3153;3031;4744;5241
31.12.2020;07320;Zweibrücken, kreisfreie Stadt;449;441;576;759;461;366;968;1157;1308;1060;984;960;1218;1353;1245;1850;1685;389;474;586;753;435;301;864;943;1041;974;973;926;1210;1372;1375;2113;2432
31.12.2020;07331;Alzey-Worms, Landkreis;1913;1983;2519;3111;1939;1425;3494;3476;4070;4172;3966;4048;5401;5764;5139;7419;5125;1937;1992;2458;2858;1794;1308;3062;3114;3923;3889;4000;4070;5441;5913;5265;7602;7125
31.12.2020;07332;Bad Dürkheim, Landkreis;1729;1820;2349;2946;1841;1243;3197;3242;3648;3639;3672;3765;5653;6236;5390;7842;6891;1708;1784;2147;2678;1765;1136;2645;3051;3522;3769;3815;4087;5827;6265;5620;8617;9465
31.12.2020;07333;Donnersbergkreis;1026;1080;1360;1763;1168;799;2004;1954;2236;2085;2188;2236;3066;3541;3091;4542;3278;1020;1017;1308;1712;1103;707;1695;1814;2110;2126;2225;2360;3078;3448;3166;4605;4628
